Nummero Accident;Categorie de route;Nom de la route
202200048126; Route Départementale;280
202200048127;Voie Communales;BOULEVARD HAUSSMANN
202200048128; Route Départementale;
202200048129;Voie Communales;FOUCHARD (RUE DU PONT)
202200048130; Route Départementale;957
202200048131;Route nationale;REDOUTE (ROUTE DE LA)
202200048132;Voie Communales;BARRE (PROMENADE DE LA)
202200048133;Voie Communales;PLACE DE LA CONCORDE
202200048134; Route Départementale;PESSAN (ROUTE DE)
202200048135;Voie Communales;GUY DE COLLONGUE    AV
202200048136;Voie Communales;
202200048137;Route nationale;116
202200048138;Voie Communales;CARPAYE(AVENUE)
202200048139;Voie Communales;RUE D AMSTERDAM
202200048140;Voie Communales;BARONNE (RUE DE LA)
202200048141;Voie Communales;HAUTES LEVEES (RUE DES HAUTES LEVEES)
202200048142;Voie Communales;MARIETTON                           (R )
202200048143;Voie Communales;RUE DUROC
202200048144; Route Départementale;992
202200048145;Voie Communales;PIERRE DE ROUBAIX (RUE)
202200048146;Voie Communales;PRESIDENT KENNEDY (AVENUE DU )
202200048147;Routes de métropole urbaine;AV DU GENERAL EISENHOWER
202200048148; Route Départementale;511
202200048149;Voie Communales;RUE DE TURBIGO
202200048150;Voie Communales;GRENETTE                            (R )
202200048151;Voie Communales;VILLEMANDEUR (RUE DE)
202200048152;Voie Communales;BOULINGRIN (ROND POINT DU) DU 1AU 4
202200048153;Voie Communales;RAYNAUD (BD AUGUSTE)
202200048154;Route nationale;20
202200048155;Voie Communales;CASSIN (BD RENE)
202200048156; Route Départementale;GENERAL DE GAULLE (AVENUE DU)
202200048157; Route Départementale;LORRIS (ROUTE DE)
202200048158;Voie Communales;RUE REAUMUR
202200048159;Voie Communales;RUE RAYMOND LIZOP
202200048160;Voie Communales;1
202200048161; Route Départementale;62
202200048162;Voie Communales;OCÉAN (ROUTE DE L')
202200048163;Voie Communales;HENRI SELLIER (R)
202200048164;Voie Communales;
202200048165;Voie Communales;PL DU 8 MAI 1945
202200048166;Voie Communales;CHE DE BAGATELLE
202200048167;Voie Communales;DE MARIE GALANTE - RAIZET (RUE)
202200048168;Voie Communales;BOULEVARD DU TERTRE
202200048169; Route Départementale;BAC (AV DU)
202200048170; Route Départementale;AV BOURBONNAIS
202200048171;Voie Communales;SAINT ELOI (R)
202200048172;Voie Communales;6
202200048173;Voie Communales;JOFFRE (AV.DU ML.)
202200048174;Routes de métropole urbaine;EISENHOWER (AVENUE DU GENERAL)
202200048175; Route Départementale;TIREBOEUF (COTE DE)
202200048176;Parc de stationnement ouvert à la circulation publique;GARIBALDI (BOULEVARD DES)
202200048177; Route Départementale;908
202200048178;Voie Communales;CINTRAT (AV)
202200048179;Routes de métropole urbaine;REY (BOULEVARD E.)
202200048180; Route Départementale;D 5
202200048181;Voie Communales;MALRAUX (AVENUE ANDRE)
202200048182; Route Départementale;60
202200048183; Route Départementale;PINCE VENT (AV DE)
202200048184;Voie Communales;PORT (ALLEE DU)
202200048185; Route Départementale;
202200048186;Voie Communales;AVENUE DES ÉTATS GÉNÉRAUX
202200048187; Route Départementale;AV DE L EUROPE
202200048188;Voie Communales;D'AMBOILE (R)
202200048189;Voie Communales;BACALAN (QUAI DE)
202200048190;Routes de métropole urbaine;952
202200048191;Voie Communales;JAURES JEAN (BOULEVARD)
202200048192; Route Départementale;GENERAL DE GAULLE (AV DU)
202200048193; Route Départementale;AV MARECHAL LECLERC
202200048194;Voie Communales;SALVADOR DALI (ALLEE)
202200048195;Voie Communales;VICTOR HUGO (R)
202200048196;autre;VEYNES ( ROUTE DE )
202200048197;Voie Communales;AVE DE NOES
202200048198;Voie Communales;
202200048199;Voie Communales;VOLOS (AVENUE DE)
202200048200; Route Départementale;FOCH (BOULEVARD)
202200048201;Voie Communales;RUE FERAY
202200048202;Autoroute;A62
202200048203;Voie Communales;AVE DU MARECHAL LECLERC
202200048204; Route Départementale;CARNOT (AVE)
202200048205;Voie Communales;BOUVET ROGER (RUE) N° IMP
202200048206; Route Départementale;992
202200048207;Voie Communales;DE FRANCE ( BOULEVARD)
202200048208;Voie Communales;RUE LOT. TOULOUSE LAUTREC
202200048209;Autoroute;8
202200048210;Voie Communales;HERITAN (RUE DE L')
202200048211; Route Départementale;
202200048212;Voie Communales;RUE AMBROISE CROIZAT
202200048213; Route Départementale;19
202200048214;Route nationale;3
202200048215;Route nationale;ROCADE (RN 124 OUEST)
202200048216;Voie Communales;PL DES FEDERES
202200048217; Route Départementale;BEAUREGARD DE ROUTE
202200048218; Route Départementale;CORAY ROUTE DE
202200048219;Routes de métropole urbaine;RTE DE SEYSSES
202200048220; Route Départementale;RTE NATIONALE 7
202200048221;Voie Communales;GEORGES MARANNES                    (R )
202200048222; Route Départementale;GUTENBERG BOULEVARD
202200048223; Route Départementale;1
202200048224; Route Départementale;920
202200048225;Autoroute;33 B SESQUIERES  (PERIPH OUEST A620)
202200048226;Routes de métropole urbaine;MARCEL SEMBAT                       (R )
202200048227; Route Départementale;RTE NATIONALE 7
202200048228; Route Départementale;MORBIHAN AVENUE DU
202200048229; Route Départementale;10
202200048230; Route Départementale;149
202200048231;Voie Communales;LAVOISIER (RUE)
202200048232; Route Départementale;CNO
202200048233;Route nationale;106
202200048234;Voie Communales;MAI 1945 ( RUE DU 08)
202200048235;Route nationale;RN1
202200048236; Route Départementale;SERRAT DEN VAQUER (RD PT)
202200048237; Route Départementale;121
202200048238;Route nationale;RN 165
202200048239; Route Départementale;178
202200048240;Voie Communales;QUIMPER ( RUE DE)
202200048241; Route Départementale;SALINE (BOULEVARD DE LA)
202200048242;Parc de stationnement ouvert à la circulation publique;CRECY (ROUTE DE)
202200048243;Voie Communales;
202200048244;Autoroute;6
202200048245;Autoroute;89
202200048246;Voie Communales;MONTAIGNE (DE 39 A 111 ET 32 A 96)
202200048247; Route Départementale;EUROPE (Rdp de l')
202200048248;Route nationale;2
202200048249;Voie Communales;ANDRE MITTON
202200048250;Autoroute;A6
202200048251;Voie Communales;CLEMENCEAU GEORGES (DE 16 ET 37 A FIN)
202200048252;Voie Communales;
202200048253;Route nationale;RN 123 (ROCADE)
202200048254;Route nationale;LITTORAL (ROUTE 1 DU)
202200048255; Route Départementale;130
202200048256; Route Départementale;48
202200048257;Voie Communales;EDOUARD VII
202200048258;Parc de stationnement ouvert à la circulation publique;GRANDS RENARDS (SENTE DES)
202200048259; Route Départementale;313
202200048260;Route nationale;
202200048261; Route Départementale;JUIN ( AVENUE DU MARECHAL)
202200048262; Route Départementale;MONTABO (ROUTE DE) 4
202200048263; Route Départementale;
202200048264; Route Départementale;CHAUSSE DU VEXIN
202200048265; Route Départementale;OLOF PALME
202200048266; Route Départementale;RD700
202200048267; Route Départementale;33
202200048268;Voie Communales;ROCKEFELLER                         (AV)
202200048269;Autoroute;a71
202200048270;Voie Communales;
202200048271;Voie Communales;ROOSEVELT (RUE FRANKLIN DELANO)
202200048272;Autoroute;7
202200048273;Voie Communales;
202200048274;Voie Communales;GRAMONT
202200048275;Route nationale;137
202200048276;Voie Communales;VIENNE (DE)                         (RO)
202200048277;Voie Communales;PARIS (DE)
202200048278;Voie Communales;
202200048279;Voie Communales;ROUX (RUE DU DOCTEUR)
202200048280; Route Départementale;2
202200048281;Route nationale;89
202200048282;Voie Communales;UNION SOVIETIQUE (AVENUE DE L')
202200048283; Route Départementale;ALIXAN ROUTE D' CD 171
202200048284; Route Départementale;920
202200048285;Route nationale;
202200048286;Voie Communales;BETHENCOURT   RUE DE (55 et 6)
202200048287; Route Départementale;R.D. 20
202200048288; Route Départementale;11
202200048289;Voie Communales;8 MAI 1945 ( DU )
202200048290; Route Départementale;652
202200048291; Route Départementale;CARNOT (ROND POINT)
202200048292; Route Départementale;175
202200048293;Voie Communales;NITRIERE (Chemin de la )
202200048294; Route Départementale;28
202200048295;Autoroute;AUTOROUTE A20
202200048296;Voie Communales;VOLTAIRE    PAIRS (BOULEVARD)
202200048297; Route Départementale;45
202200048298;Voie Communales;GUYNEMER (COURS)
202200048299;Route nationale;R-N 57.
202200048300; Route Départementale;231
202200048301;Parc de stationnement ouvert à la circulation publique;
202200048302;Voie Communales;PERRIN (RUE FRANCOIS)
202200048303;Voie Communales;BLAISE PASCAL  (AVENUE)
202200048304;Voie Communales;LONGCHAMP (BOULEVARD)   1 A 21
202200048305; Route Départementale;911
202200048306; Route Départementale;MONT VAUDOIS(AVENUE DU)
202200048307;Voie Communales;
202200048308;Voie Communales;ONZE NOVEMBRE 1945 (AV DU)
202200048309; Route Départementale;6015
202200048310;Voie Communales;EUGENE BERTRAND (PLACE)
202200048311;Voie Communales;TREY  RUE DE (inf 36)
202200048312; Route Départementale;91
202200048313;Routes de métropole urbaine;ESPLANADE FACADE
202200048314; Route Départementale;68
202200048315;Parc de stationnement ouvert à la circulation publique;WYRSCH RUE JEAN
202200048316; Route Départementale;SIMON VOUET (AVENUE)
202200048317;Autoroute;SAINT ANTOINE (AVENUE DE)
202200048318; Route Départementale;49
202200048319;Voie Communales;FOCH (RUE )
202200048320; Route Départementale;22
202200048321; Route Départementale;
202200048322; Route Départementale;201
202200048323;Voie Communales;
202200048324;Voie Communales;JULES CANTINI (AVENUE)
202200048325; Route Départementale;AMBASSADEUR (RUE DE L')
202200048326; Route Départementale;9
202200048327;Routes de métropole urbaine;221
202200048328;Voie Communales;CARNOT (AVENUE)
202200048329;Voie Communales;BOUVIER (AVENUE FIRMIN)
202200048330;Voie Communales;BOLLEE (AV) N° IMP 65 A 199
202200048331; Route Départementale;37
202200048332;Voie Communales;
202200048333;Voie Communales;SAINT ANTOINE (AVENUE DE)
202200048334;Voie Communales;
202200048335;Voie Communales;RESISTANCE (AVENUE DE LA)
202200048336; Route Départementale;432
202200048337;Voie Communales;MONTAIGU (RUE DE)
202200048338;Voie Communales;VASNIER (BOULEVARD HENRI) COTE IMPAIR
202200048339;Voie Communales;COLOMB (AVENUE CHRISTOPHE)
202200048340;Autoroute;A55-Sens Martigues vers Marseille
202200048341; Route Départementale;TURGOT (AVENUE) N° PAIRS
202200048342; Route Départementale;6015
202200048343;Voie Communales;STALINGRAD    (Boulevard de la Bataille 
202200048344;Voie Communales;
202200048345; Route Départementale;JEAN JAURES (RUE)
202200048346;Autoroute;AUTOROUTE A6
202200048347;Voie Communales;REPUBLIQUE (DE LA) (BD)
202200048348; Route Départementale;CHAMPAGNE (ROND POINT DE) (1/2 S4 + 1/2
202200048349; Route Départementale;315
202200048350;Parc de stationnement ouvert à la circulation publique;MARNE (RUE)
202200048351; Route Départementale;117
202200048352;Autoroute;AUTOROUTE A103
202200048353;Voie Communales;REPUBLIQUE (DE)                     (R )
202200048354;Route nationale;33 PK RN11 NANTES ROCADE
202200048355; Route Départementale;LECLERC (AVENUE DU GENERAL)
202200048356; Route Départementale;157
202200048357;Voie Communales;BOUCHER (RUE HELENE)
202200048358;Route nationale;04 PK RN237 RE MOULIN JUSTICE
202200048359; Route Départementale;1090
202200048360;Voie Communales;REPUBLIQUE. RUE DE LA
202200048361;Routes de métropole urbaine;GENAS (DE)                          (RO)
202200048362;Voie Communales;JACOB (RUE FRANÇOIS)
202200048363;Voie Communales;DE LATTRE DE TASSIGNY (AVENUE DU MARECHA
202200048364; Route Départementale;
202200048365; Route Départementale;MONTABO (ROUTE DE) 1
202200048366;Autoroute;ROCADE A 630
202200048367;Voie Communales;4 AOUT 1789    (Rue du)
202200048368;Parc de stationnement ouvert à la circulation publique;WITRY (ROUTE DE)
202200048369;Voie Communales;VIALENC (BOULEVARD DU)
202200048370;Voie Communales;ALEXANDRE III (BOULEVARD )
202200048371; Route Départementale;
202200048372;Autoroute;AUTOROUTE A86
202200048373;Voie Communales;JEAN SARRAZIN                       (R )
202200048374;Voie Communales;VOLTAIRE
202200048375;Voie Communales;GENAS    (Route de)
202200048376; Route Départementale;RD 406
202200048377;Voie Communales;4 EME  CHASSEUR ( RUE DU )
202200048378; Route Départementale;2
202200048379;Autoroute;Chateauboeuf  (Pont de)
202200048380;Autoroute;AUTOROUTE A15
202200048381;Voie Communales;PARC SAINT ANDRE (AVENUE DU)
202200048382;Voie Communales;JODINO (DE)                         (BD)
202200048383; Route Départementale;977
202200048384;Voie Communales;RABELAIS
202200048385; Route Départementale;
202200048386;Route nationale;RN4 - SECTION RIVIERA
202200048387;Autoroute;72
202200048388;Autoroute;AUTOROUTE A3
202200048389;Voie Communales;HAUT CHENE
202200048390; Route Départementale;CD N° 515 (ROUTE DE OUISTREHAM)
202200048391;Routes de métropole urbaine;UNIVERSITE  (DE L')              (BD)
202200048392;Voie Communales;PORTE DE SAINT OUEN
202200048393; Route Départementale;113
202200048394;Route nationale;RN4 - SECTION RIVIERA
202200048395;Autoroute;A105
202200048396;Voie Communales;BELLEVUE (RUE)
202200048397;Voie Communales;PAIX (BOULEVARD DE LA)
202200048398;Voie Communales;DUNKERQUE (RUE DE)
202200048399;Autoroute;A4
202200048400; Route Départementale;ROUTE DE BOULIQUI
202200048401;Voie Communales;BOULEVARD SAINT MICHEL
202200048402;Autoroute;A4
202200048403;Voie Communales;PASSE DEBOUT (RUE)
202200048404;Voie Communales;VINCENT SCOTTO (RUE)
202200048405;Autoroute;A43
202200048406;Parc de stationnement ouvert à la circulation publique;AVENUE BARREAU NORD-SUD
202200048407;Route nationale;T22
202200048408;Autoroute;A4
202200048409;Voie Communales;AVENUE DE LA PORTE DE MONTREUIL
202200048410;Route nationale;3
202200048411;Voie Communales;CHAVE ( CHEMIN LANGE)
202200048412; Route Départementale;CORPS FRANC POMMIES (RUE DU)
202200048413;Voie Communales;HAUTES LEVEES (RUE DES HAUTES LEVEES)
202200048414;Autoroute;A4
202200048415;Voie Communales;2
202200048416; Route Départementale;GENERAL LECLERC (RUE DU)
202200048417; Route Départementale;PAMPELUNE (AVENUE DE)
202200048418;Routes de métropole urbaine;CD20 E
202200048419;Voie Communales;AVENUE DE LA PORTE DE LA CHAPELLE
202200048420;Voie Communales;
202200048421;Voie Communales;BRETAGNE (AVENUE DE)
202200048422;Voie Communales;GAMBETTA LEON RUE
202200048423; Route Départementale;948
202200048424; Route Départementale;PLAN DE CAMPAGNE (AVE. DE )
202200048425;Voie Communales;GAMBETTA (AVENUE)
202200048426;Voie Communales;BOULEVARD NEY
202200048427;Routes de métropole urbaine;LILLE RUE DE
202200048428;Voie Communales;
202200048429; Route Départementale;RD34
202200048430;Routes de métropole urbaine;D9 (BRETELLE)
202200048431;Voie Communales;HONORE RAYMOND(AVENUE)
202200048432; Route Départementale;AVENUE DE L'AGACHON
202200048433;Voie Communales;BOIS ( Rue au )
202200048434; Route Départementale;559
202200048435; Route Départementale;HUIT MAI (AVENUE DU)
202200048436;Routes de métropole urbaine;ROUTE NATIONALE 113-L'ANJOLY
202200048437;Voie Communales;INDUSTRIELLE (AVENUE)
202200048438;Parc de stationnement ouvert à la circulation publique;
202200048439;Voie Communales;GRANDE RUE
202200048440;Voie Communales;COMMANDEUR (TRAVERSE)
202200048441;Voie Communales;AVENUE DE LA PORTE DE MONTMARTRE
202200048442; Route Départementale;RD673
202200048443;Voie Communales;RUE DE LONGCHAMP
202200048444; Route Départementale;7
202200048445; Route Départementale;RD 1063
202200048446; Route Départementale;ESTAQUE PLAGE
202200048447;Voie Communales;ALLEE DE LONGCHAMP
202200048448; Route Départementale;1075
202200048449;Voie Communales;PERI GABRIEL
202200048450; Route Départementale;BAGNERES (ROUTE DE)
202200048451;Voie Communales;BARA (BOULEVARD)
202200048452;Voie Communales;BARATTE (FAUBOURG)
202200048453;Voie Communales;ROLLAND (RUE ROMAIN) A PARTIR DE N° 88 
202200048454;Voie Communales;AVENUE DE NEW YORK
202200048455; Route Départementale;964
202200048456; Route Départementale;HOUDAIN (rue)
202200048457;Voie Communales;FRANÇOISE DUPARC (BOULEVARD)
202200048458;Voie Communales;RAVELIN
202200048459;Voie Communales;AVENUE FELIX FAURE
202200048460; Route Départementale;148
202200048461; Route Départementale;ROLLAND GARROS (CHEMIN) CD29 (1)
202200048462;Voie Communales;PARCHEMINERIE
202200048463; Route Départementale;RN 16_LIMITE CNE NOGENT_PONT RUE DU MARA
202200048464;Voie Communales;RAYMOND TEISSERE (RUE)
202200048465;Voie Communales;KERJULAUDE ( RUE DE )
202200048466; Route Départementale;755
202200048467;Voie Communales;PRESIDENT MITTERAND(AVENUE)
202200048468;Voie Communales;PLACE DU VINGT CINQ AOUT 1944
202200048469; Route Départementale;CASSEL (RUE DE)
202200048470;Voie Communales;D'EAU(CHEMIN)
202200048471; Route Départementale;ETATS-UNIS (AVENUE DES)
202200048472;Voie Communales;MONSABERT(BD DU GENERAL DE)
202200048473; Route Départementale;798
202200048474;Voie Communales;AVENUE DU MAINE
202200048475;Voie Communales;LE CORBUSIER (AVE LE)
202200048476;Voie Communales;JACQUES DUCLOS (RUE) - RIVIERE DES GAL  
202200048477;Voie Communales;LECLERC (AVENUE DU GENERAL)
202200048478;Voie Communales;
202200048479;Voie Communales;EUROPE (ROND POINT DE L')
202200048480;Voie Communales;BOULEVARD JOURDAN
202200048481;Voie Communales;FELIX FAURE                         (AV)
202200048482;Route nationale;RN 88 (LA TEBAIDE)
202200048483; Route Départementale;921
202200048484;Route nationale;52 (ROUTE NATIONALE)
202200048485;Voie Communales;LIONEL TERRAY (BOULEVARD)
202200048486;Voie Communales;FRANCOIS REBOULD (BOULEVARD)
202200048487;Voie Communales;RUE DE LA CROIX NIVERT
202200048488; Route Départementale;31
202200048489;Voie Communales;CHARBONNIERE (RUE DE)
202200048490;Voie Communales;AVIATEUR LE BRIX (RUE)
202200048491; Route Départementale;METZ (RUE DE)
202200048492;Voie Communales;PROFESSEUR GUERIN (DU)              (R )
202200048493;Voie Communales;ROUTE DE LA FERME
202200048494;Voie Communales;SAINT-BRIEUC (DE)
202200048495;Voie Communales;Corniche John Fitzgérald Kennedy
202200048496;Voie Communales;BOCQUAINE (CHAUSSEE)
202200048497;Voie Communales;Tunnel Joliette Marseille vers Aubagne
202200048498;Routes de métropole urbaine;GRANDE RUE                          (GR)
202200048499;Voie Communales;CHATEAUGIRON (DE)
202200048500;Voie Communales;TONDEURS (BOULEVARD DES)
202200048501;Voie Communales;CATHERINE BLUM (BOULEVARD)
202200048502;Voie Communales;PLACE FELIX EBOUE
202200048503;Voie Communales;PIERRE SCIZE                        (QU)
202200048504;Voie Communales;SAINT BARNABE (AVENUE DE)
202200048505; Route Départementale;MONTPELLIER (ROUTE DE)
202200048506;Autoroute;A7-Sens Marseille vers Lyon
202200048507;Voie Communales;RUE DU FAUBOURG SAINT ANTOINE
202200048508;Voie Communales;AVENIR CROIX ROUSSIEN (DE L')       (AV)
202200048509;Voie Communales;NEUVE SAINT (RUE)
202200048510;Autoroute;A5502G-sens Martigues vers A7-Marseille
202200048511;Voie Communales;PENTHOD (DU)                        (CH)
202200048512;Voie Communales;POMPIDOU (PROMENADE)
202200048513; Route Départementale;MILLET (AVENUE JEAN-FRANCOIS)
202200048514;Voie Communales;RUE SAINT MARTIN
202200048515;Routes de métropole urbaine;RD383   14.250 A 18.000
202200048516;Voie Communales;PEINTRES ROUX (AVENUE DES)
202200048517;Voie Communales;BAS DU FORT
202200048518;Route nationale;RN 12 (LES CHATELETS)
202200048519;Autoroute;A87N
202200048520;Voie Communales;PRADO (AVENUE DU)
202200048521;Autoroute;A72
202200048522;Voie Communales;PLACE DE LA CONCORDE
202200048523;Voie Communales;MALASSIS (RUE DE)
202200048524; Route Départementale;GALLIENI AVENUE
202200048525;Voie Communales;MENDES FRANCE (AVENUE)
202200048526;Voie Communales;
202200048527;Autoroute;Autoroute A31
202200048528;Voie Communales;RUE EDOUARD VAILLANT
202200048529;Voie Communales;QUAI BRANLY
202200048530;Voie Communales;FRATERNITE(RUE DE LA )
202200048531;Voie Communales;HAUT CREPON (AVENUE DU)
202200048532;Routes de métropole urbaine;468
202200048533;Voie Communales;PIERRE GUERRE (ROND-POINT)
202200048534;Voie Communales;PLACE JOFFRE
202200048535;Voie Communales;GAMBETTA (BOULEVARD)
202200048536;Voie Communales;ROMAIN ROLLAND (BOULEVARD)
202200048537;Voie Communales;CHAUSSEE (RUE DU FAUBOURG DE LA)
202200048538;Autoroute;AUTOROUTE A 63
202200048539;Voie Communales;ROMAIN ROLLAND (BOULEVARD)
202200048540;Voie Communales;CURIE  (RUE PIERRE ET MARIE)
202200048541;Voie Communales;RUE DE TURBIGO
202200048542;Voie Communales;GRENAPIN (RUE PITRE)
202200048543;Voie Communales;ROOSEVELT (AVE FRANKLIN)
202200048544;Voie Communales;GUSTAVE GANAY (BOULEVARD)
202200048545;Voie Communales;FRANÇOISE DUPARC (BOULEVARD)
202200048546;Voie Communales;RUE DE RIVOLI
202200048547;Autoroute;A13
202200048548;Routes de métropole urbaine;EUROPE ROUTE DE L'
202200048549;Autoroute;AUTOROUTE A15
202200048550;Routes de métropole urbaine;JUIN MARECHAL (AV DU)
202200048551;Voie Communales;RUE DE SAINTONGE
202200048552;Voie Communales;QUINET (BOULEVARD EDGAR)
202200048553;Voie Communales;TUNNEL DU PAILLON
202200048554;Voie Communales;LAFON (RUE)
202200048555;Voie Communales;LERY (BOULEVARD DE)
202200048556;Route nationale;RN 104
202200048557; Route Départementale;LUYE ( ROUTE DE LA )
202200048558;Routes de métropole urbaine;RN 96 (ROUTE NATIONALE )
202200048559;Voie Communales;GASTON CORNAVIN (R)
202200048560; Route Départementale;EISENHOWER (AVENUE DU GENERAL)
202200048561;Voie Communales;COLOMBIER (DU PERE)
202200048562;Routes de métropole urbaine;37
202200048563;Autoroute;AUTOROUTE A86
202200048564;Voie Communales;PALUDS (AVENUE DES)
202200048565;Voie Communales;PARC (QU DU)
202200048566; Route Départementale;RD231
202200048567;Voie Communales;QUAI DES GRANDS AUGUSTINS
202200048568;Voie Communales;VERDUN (AVENUE DE)
202200048569;Autoroute;A4
202200048570;Route nationale;PORTE DE ST NAZAIRE
202200048571; Route Départementale;GENERAL GALLIENI (AV DU)
202200048572;Voie Communales;RUE FRANCOIS VILLON
202200048573;Voie Communales;RUE DAVID D ANGERS
202200048574;Voie Communales;BERGSON (BOULEVARD HENRI)
202200048575; Route Départementale;SAUSSAIES (R DES)
202200048576;Route nationale;RN157
202200048577;Voie Communales;ARQUES (CHAUSSEE DE L')
202200048578;Voie Communales;
202200048579;Voie Communales;AVENUE VICTOR HUGO
202200048580;Voie Communales;ROCHESTER (AVENUE DE)
202200048581; Route Départementale;RD 7
202200048582;Voie Communales;VERDUN (R DE)
202200048583;Voie Communales;BOULEVARD DU MONTPARNASSE
202200048584;Voie Communales;REPUBLIQUE (DE LA)                  (R )
202200048585; Route Départementale;vahibe-Departementale 3 ( route )
202200048586;Voie Communales;EUROPE (AV)
202200048587;Voie Communales;BEAULIEU (ALLEE DE)
202200048588; Route Départementale;JULES GUESDE (QU)
202200048589;Voie Communales;BOULEVARD DE LA VILLETTE
202200048590;Voie Communales;PROFESSEUR ROUX (DU)                (R )
202200048591; Route Départementale;MARSEILLE (ROUTE DE )
202200048592;Voie Communales;GAULLE (DU GENERAL DE)
202200048593;Route nationale;NATIONALE
202200048594; Route Départementale;FONTAINEBLEAU (RTE DE)
202200048595;Voie Communales;RUE DES TOURNELLES
202200048596;Voie Communales;VIENNE (DE)                         (RO)
202200048597; Route Départementale;RD9
202200048598; Route Départementale;VILLENEUVE LE ROI (PONT DE)
202200048599;Voie Communales;HAMEAU DES ENCENS (RUE DU) Cité St Marti
202200048600; Route Départementale;OLIVIER D ORMESSON (AV)
202200048601;Voie Communales;PORTUGAL (BD DU)
202200048602;Voie Communales;PAUL DOPFF (RUE) 
202200048603;Voie Communales;
202200048604;Voie Communales;LIBERTE (AVENUE DE LA
202200048605;Voie Communales;PAUL BERT                           (R )
202200048606;Voie Communales;FOCH (MARECHAL)
202200048607; Route Départementale;
202200048608; Route Départementale;PARIS (R DE)
202200048609; Route Départementale;PRESIDENT JOHN KENNEDY (AV DU)
202200048610;Voie Communales;COLBERT
202200048611;Parc de stationnement ouvert à la circulation publique;FONTAINES (R DES)
202200048612; Route Départementale;RD32
202200048613;Voie Communales;MASSENA                             (R )
202200048614;Voie Communales;FAUCEILLE (CHEMIN DE LA)
202200048615; Route Départementale;SEMARD(RUE PIERRE)
202200048616;Voie Communales;PAYRA (PLACE JEAN)
202200048617;Voie Communales;BIENFAISSANCE (RUE DE LA)
202200048618;Parc de stationnement ouvert à la circulation publique;ZI PONT ROUGE
202200048619; Route Départementale;CHAMPIGNY (R DE)
202200048620;Voie Communales;CRS DU GENERAL DE GAULLE
202200048621;Voie Communales;DUGUESCLIN                          (R )
202200048622;Voie Communales;LENINE (AV)
202200048623; Route Départementale;AVIATION DE L'
202200048624;Voie Communales;JEAN BERTHELIN (RUE)
202200048625; Route Départementale;PRESSENCE FRANCIS (AVENUE)
202200048626;Voie Communales;BD ALFRED DANEY
202200048627; Route Départementale;PONT (R DU)
202200048628;Voie Communales;FRANCIS DE PRESSENSE                (AV)
202200048629;Voie Communales;MOULIN DU
202200048630; Route Départementale;GENERAL LECLERC (RUE DU)
202200048631; Route Départementale;FONTAINEBLEAU (AV DE)
202200048632; Route Départementale;LECLERC (RUE DU GENERAL)
202200048633;Voie Communales;PERIOLE (RUE DE) DU 2AU 170
202200048634;Voie Communales;PORTE DE PARIS (PLACE)
202200048635;Voie Communales;BERTHELOT                           (AV)
202200048636;Routes de métropole urbaine;ALLIER (AVENUE DE L')
202200048637;Voie Communales;ECLUSE (CHEMIN)
202200048638;Voie Communales;AV DE REYNERIE
202200048639; Route Départementale;JAURES (AVENUE JEAN)
202200048640;Voie Communales;DAMPIERRE (QUAI)
202200048641;Voie Communales;BONNABAUD (RUE)
202200048642; Route Départementale;HENRI BARBUSSE (AVE) N°2-124
202200048643;Voie Communales;LOMBEZ (BARRIERE DE) DU 4AU 70
202200048644;Voie Communales;SULLY                               (R )
202200048645; Route Départementale;LOUIS VANNINI (RUE)
202200048646;Voie Communales;DANTON (RUE)
202200048647;Voie Communales;MAXIMILIEN ROBESPIERRE (RUE)
202200048648;Voie Communales;LHOMOND  (AVENUE)
202200048649;Voie Communales;POINCARE (COURS RAYMOND)
202200048650;Voie Communales;JOSEPH GILLET                       (QU)
202200048651; Route Départementale;PARIS (RUE DE)
202200048652; Route Départementale;CHOMERAC (ROUTE DE)
202200048653;Voie Communales;QUIMPER ( RUE DE)
202200048654; Route Départementale;9
202200048655;Voie Communales;VAN HENDE RUE
202200048656; Route Départementale;PARIS (RUE DE)
202200048657;Voie Communales;DUVAL MARCELLIN (DE 1 A 27 ET 2 A 20)
202200048658;Voie Communales;GORGE DE LOUP                       (R )
202200048659; Route Départementale;CONSUL GENERAL NORDLING AVENUE
202200048660;Voie Communales;JAURES (BD JEAN)
202200048661;Voie Communales;BONTEMPS (rue Marcel)
202200048662; Route Départementale;RUE ARISTIDE BRIAND
202200048663; Route Départementale;GAUDIN - BLD AUGUSTE
202200048664;Voie Communales;FRANCEVILLE  (RUE DE)
202200048665; Route Départementale;128
202200048666;Voie Communales;PERRIN (RUE  DU PROFESSEUR )
202200048667;Voie Communales;ANGLAIS (DU N° 1 AU N° 43)
202200048668;Voie Communales;ANTOINE ROCCA (RUE)
202200048669; Route Départementale;CROIZAT (AVENUE AMBROISE)
202200048670; Route Départementale;
202200048671; Route Départementale;983
202200048672; Route Départementale;AV DU MARECHAL LECLERC
202200048673; Route Départementale;23
202200048674;Voie Communales;TURIN (RTE DE)
202200048675;Voie Communales;LIBERATION (AVENUE DE LA)
202200048676; Route Départementale;JEAN LOLIVE (AVENUE)(137/FIN ET 134/FIN)
202200048677;Voie Communales;RAHUEL (DOCTEUR)
202200048678; Route Départementale;STALINGRAD AV.
202200048679;Voie Communales;MUNET (RUE DES SOEURS)
202200048680;Voie Communales;AUXONNE (RUE D')
