Nummero Accident;Categorie de route;Nom de la route
202200000274;Route nationale;GENERAL DE GAULLE (BLD DU)
202200000275; Route Départementale;BEAUSEJOUR JAMBETTE (ROUTE)
202200000276; Route Départementale;449
202200000277;Voie Communales;VEZZANI - RUE CESAR
202200000278; Route Départementale;51
202200000279;Route nationale;TUNNEL
202200000280;Voie Communales;
202200000281; Route Départementale;50
202200000282;Route nationale;ROUTE DES ABYMES
202200000283; Route Départementale;ROUTE DE BOISVINS
202200000284;Voie Communales;
202200000285;Voie Communales;SAMPIERO BD
202200000286; Route Départementale;65
202200000287; Route Départementale;DIVISION LECLERC (AVENUE DE LA)
202200000288;Voie Communales;
202200000289; Route Départementale;613
202200000290;Voie Communales;CORBEIL (ROUTE DE)
202200000291; Route Départementale;ROUTE NATIONALE 6
202200000292; Route Départementale;55
202200000293; Route Départementale;1001
202200000294;Voie Communales;RUCHERIE  (RUE DE  LA)
202200000295; Route Départementale;RD148 carrefour DIANE à SORQUES
202200000296;Autoroute;16
202200000297;Routes de métropole urbaine;BAPEAUME. RUE DE
202200000298;Autoroute;A507 sens Aubagne- Marseille
202200000299;Routes de métropole urbaine;GAULLE. AVENUE DU GENERAL DE
202200000300;Autoroute;A50-Sens Marseille vers Aubagne
202200000301;Voie Communales;MULHOUSE (DE)
202200000302;Autoroute;A7-Sens Marseille vers Lyon
202200000303;Voie Communales;4 AOUT 1789    (Rue du)
202200000304;Autoroute;A50-Sens Aubagne vers Marseille
202200000305; Route Départementale;RD 424
202200000306;Autoroute;A7-Sens Lyon vers Marseille
202200000307;Voie Communales;PAIX
202200000308;Autoroute;ROCADE A 630
202200000309;Voie Communales;UNION SOVIETIQUE (AVENUE DE L')
202200000310;Autoroute;AUTOROUTE A 10
202200000311; Route Départementale;CD181
202200000312;Voie Communales;
202200000313;Voie Communales;SAPINIERE (RUE DE LA)
202200000314;Autoroute;AUTOROUTE A86
202200000315; Route Départementale;RENAN (RUE ERNEST)
202200000316;Route nationale;RN 104
202200000317;Voie Communales;TRIBUNAUX (RUE DES)
202200000318;Autoroute;AUTOROUTE A10
202200000319;autre;RD 236
202200000320; Route Départementale;DE GAULLE (AV. DU GENERAL)
202200000321;Route nationale;RN 104
202200000322;Voie Communales;TOUR (RUE DE LA)
202200000323; Route Départementale;RD 492 DU RP OCÉANIS AU RP EINSTEIN
202200000324;Autoroute;AUTOROUTE A6B
202200000325;Voie Communales;LIBERATION (AVENUE)
202200000326;Autoroute;15
202200000327;Autoroute;86
202200000328;Autoroute;AUTOROUTE A1
202200000329;Voie Communales;PLACE JEAN ACHARD
202200000330;Routes de métropole urbaine;RD 82
202200000331;Route nationale;RN 184
202200000332;Voie Communales;SALLE (BLD JEAN BAPTISTE DE LA)
202200000333;Autoroute;AUTOROUTE A15
202200000334;Routes de métropole urbaine;GOSSEC (RUE FRANCOIS-JOSEPH)
202200000335;Autoroute;AUTOROUTE A3
202200000336;Autoroute;A4
202200000337; Route Départementale;RN.112 (ROUTE D'AGDE)
202200000338;Route nationale;SACRE COEUR (RD POINT) -RIV. DES GALETS 
202200000339;Voie Communales;RUE JEAN LAHARY
202200000340;Routes de métropole urbaine;IRENE JOLIOT CURIE                  (BD)
202200000341;Voie Communales;TY PONT KERROUE  ROND POINT DE
202200000342;Voie Communales;FLORENT                             (R )
202200000343;Voie Communales;CHAMBAUD DE LA BRUYERE              (BD)
202200000344; Route Départementale;RD 783
202200000345;Route nationale;BISHOP (Avenue Maurice)
202200000346;Voie Communales;CROIX (QUAI DE LA)
202200000347;Voie Communales;SIDOINE APPOLINAIRE                 (AV)
202200000348;Route nationale;RN4 - SECTION RIVIERA
202200000349;Route nationale;NAPOLEON COURS AVANT BEVERINI
202200000350; Route Départementale;AQUITAINE (ALIENOR D') (AVENUE)
202200000351;Voie Communales;CUGNOT JOSEPH
202200000352; Route Départementale;FERME (RUE DE LA)
202200000353; Route Départementale;AV JEAN MOULIN
202200000354;Voie Communales;SABLIERE (RUE DE LA)   ZI
202200000355;Voie Communales;MITTERAND (AVENUE FRANCOIS)
202200000356;Voie Communales;POILUS (PLACE DES)
